transcripts,confidence,tokens,streets,numbers,possibilities,response0,response1,response2,response3,response4,response5,response6,response7,response8,response9,response10,response11
0,I have 12 of them with a 585 at any in Leavenworth well the silver 12 out of the next person more than says welcome 13s Perkins over 30 never 12 over to 14 hours 70 for the night,0.7154345512390137,"['i', 'have', '12', 'of', 'them', 'with', 'a', '585', 'at', 'any', 'in', 'leavenworth', 'well', 'the', 'silver', '12', 'out', 'of', 'the', 'next', 'person', 'more', 'than', 'says', 'welcome', '13s', 'perkins', 'over', '30', 'never', '12', 'over', 'to', '14', 'hours', '70', 'for', 'the', 'night']","Leavenworth , Silver",['70'],"['70 Silver', '70 Leavenworth']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
1,Octavia an oak California Plate State atom Tom David 902 one aboard it's a white Honda Accord for door we're sufficient got on didn't like me Harvey 4419 hide,0.8844437003135681,"['octavia', 'an', 'oak', 'california', 'plate', 'state', 'atom', 'tom', 'david', '902', 'one', 'aboard', ""it's"", 'a', 'white', 'honda', 'accord', 'for', 'door', ""we're"", 'sufficient', 'got', 'on', ""didn't"", 'like', 'me', 'harvey', '4419', 'hide']","Octavia , Oak , Oak , Oak , California , California , California , State , State , State , White",['4419'],"['4419 White', '4419 State', '4419 California', '4419 Octavia', '4419 Oak']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}","{2: {'latitude': None, 'longitude': None}}","{3: {'latitude': None, 'longitude': None}}","{4: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value
2,High tax rate 5 drunk and it's your time to shine Drummond of the 400 block of Turk,0.6999048888683319,"['high', 'tax', 'rate', '5', 'drunk', 'and', ""it's"", 'your', 'time', 'to', 'shine', 'drummond', 'of', 'the', '400', 'block', 'of', 'turk']","High , Drummond , Turk , Turk , Turk",['400'],"['400 High', '400 Turk', '400 Drummond']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}","{2: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
3,slide down and 250 West Portal some kind of for 1871 flag down to 51 some kind of 44,0.7213897109031677,"['slide', 'down', 'and', '250', 'west', 'portal', 'some', 'kind', 'of', 'for', '1871', 'flag', 'down', 'to', '51', 'some', 'kind', 'of', '44']",Portal,['1871'],['1871 Portal'],"{0: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
4,my father's last clear no Mary's house with fucking banking on that final four the 3 out of 4 3 + 3 + 1 5 x 0.5 and this is one of the following four separate turn down turn Southbound on our from Center Ivy settings they lost visuals as subject possibly winning the,0.65391606092453,"['my', ""father's"", 'last', 'clear', 'no', ""mary's"", 'house', 'with', 'fucking', 'banking', 'on', 'that', 'final', 'four', 'the', '3', 'out', 'of', '4', '3', '+', '3', '+', '1', '5', 'x', '0.5', 'and', 'this', 'is', 'one', 'of', 'the', 'following', 'four', 'separate', 'turn', 'down', 'turn', 'southbound', 'on', 'our', 'from', 'center', 'ivy', 'settings', 'they', 'lost', 'visuals', 'as', 'subject', 'possibly', 'winning', 'the']","Mary , Mary , Center , Ivy",['3'],"['3 Ivy', '3 Mary', '3 Center']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}","{2: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
5,David once again for the night 1910 we 1404 15th Street treat everyone sits out of can I just want to play for yeah but go back to the temporary place and the Seven Roberts Roberts zebra 211 should come back to black Infinity first like I was like a regular California place it's a paper plate but I have several Robert Roberts it was fabulous party Wright place we try it was he that does go back to a 2004 is that the entity that correct yeah okay,0.8180941343307495,"['david', 'once', 'again', 'for', 'the', 'night', '1910', 'we', '1404', '15th', 'street', 'treat', 'everyone', 'sits', 'out', 'of', 'can', 'i', 'just', 'want', 'to', 'play', 'for', 'yeah', 'but', 'go', 'back', 'to', 'the', 'temporary', 'place', 'and', 'the', 'seven', 'roberts', 'roberts', 'zebra', '211', 'should', 'come', 'back', 'to', 'black', 'infinity', 'first', 'like', 'i', 'was', 'like', 'a', 'regular', 'california', 'place', ""it's"", 'a', 'paper', 'plate', 'but', 'i', 'have', 'several', 'robert', 'roberts', 'it', 'was', 'fabulous', 'party', 'wright', 'place', 'we', 'try', 'it', 'was', 'he', 'that', 'does', 'go', 'back', 'to', 'a', '2004', 'is', 'that', 'the', 'entity', 'that', 'correct', 'yeah', 'okay']","15th , 15th , Treat , Treat , Black , California , California , California , Robert , Robert , Wright , Wright , Wright",['1404'],"['1404 15th', '1404 Wright', '1404 Treat', '1404 California', '1404 Robert', '1404 Black']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}","{2: {'latitude': None, 'longitude': None}}","{3: {'latitude': None, 'longitude': None}}","{4: {'latitude': None, 'longitude': None}}","{5: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value
6,Dorado lemon Adam code for handled can gennessee thank you Adam for the night 12 at 20 weeks well after this nice,0.8261013627052307,"['dorado', 'lemon', 'adam', 'code', 'for', 'handled', 'can', 'gennessee', 'thank', 'you', 'adam', 'for', 'the', 'night', '12', 'at', '20', 'weeks', 'well', 'after', 'this', 'nice']","Dorado , Gennessee",['12'],"['12 Dorado', '12 Gennessee']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
7,McRae 2600 coffee 77 919 she was devastated,0.7338978052139282,"['mcrae', '2600', 'coffee', '77', '919', 'she', 'was', 'devastated']","Mcrae , Mcrae",['919'],['919 Mcrae'],"{0: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
8,thank you Lola Lola 1826 three the city crappy thank you very much mr. high-camp further David once again take this 800 prior to 1934 this is between 19th and 20th of yelling at us know and they 45 years old Felton and Adams 70 of them,0.7946331799030304,"['thank', 'you', 'lola', 'lola', '1826', 'three', 'the', 'city', 'crappy', 'thank', 'you', 'very', 'much', 'mr.', 'high-camp', 'further', 'david', 'once', 'again', 'take', 'this', '800', 'prior', 'to', '1934', 'this', 'is', 'between', '19th', 'and', '20th', 'of', 'yelling', 'at', 'us', 'know', 'and', 'they', '45', 'years', 'old', 'felton', 'and', 'adams', '70', 'of', 'them']","High , Camp , 19th , 19th , 20th , 20th , Old , Felton","['1934', '70']","['1934 19th', '70 19th', '70 Old', '1934 Felton', '1934 Camp', '70 Camp', '70 Felton', '70 High', '1934 Old', '1934 20th', '1934 High', '70 20th']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}","{2: {'latitude': None, 'longitude': None}}","{3: {'latitude': None, 'longitude': None}}","{4: {'latitude': None, 'longitude': None}}","{5: {'latitude': None, 'longitude': None}}","{6: {'latitude': None, 'longitude': None}}","{7: {'latitude': None, 'longitude': None}}","{8: {'latitude': None, 'longitude': None}}","{9: {'latitude': None, 'longitude': None}}","{10: {'latitude': None, 'longitude': None}}","{11: {'latitude': None, 'longitude': None}}"
9,14100 equipment khakis interpreter for the day 4519 pulses and surgery if you have IV also have a a 3586 and nice and full support for one day that it's 98 dozen a dozen for car in 4586 - Folsom,0.7673027515411377,"['14100', 'equipment', 'khakis', 'interpreter', 'for', 'the', 'day', '4519', 'pulses', 'and', 'surgery', 'if', 'you', 'have', 'iv', 'also', 'have', 'a', 'a', '3586', 'and', 'nice', 'and', 'full', 'support', 'for', 'one', 'day', 'that', ""it's"", '98', 'dozen', 'a', 'dozen', 'for', 'car', 'in', '4586', '-', 'folsom']","Day , Day , Folsom",['4586'],"['4586 Folsom', '4586 Day']","{0: {'latitude': None, 'longitude': None}}","{1: {'latitude': None, 'longitude': None}}",No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value,No Value
