transcripts,confidence,tokens
0,we going to call Joe at the corner of BP's and Taraval,0.8075076341629028,"['we', 'going', 'to', 'call', 'joe', 'at', 'the', 'corner', 'of', ""bp's"", 'and', 'taraval']"
1,Flora ways for a 14 year old male conscious breathing laceration to the inside of his,0.8325254917144775,"['flora', 'ways', 'for', 'a', '14', 'year', 'old', 'male', 'conscious', 'breathing', 'laceration', 'to', 'the', 'inside', 'of', 'his']"
2,40th the Safeway Taraval 730 Taraval top of seventies and eighties is possibly related and that because of EMA,0.7936699390411377,"['40th', 'the', 'safeway', 'taraval', '730', 'taraval', 'top', 'of', 'seventies', 'and', 'eighties', 'is', 'possibly', 'related', 'and', 'that', 'because', 'of', 'ema']"
3,for 390 building across the hide in marking the language,0.7664272785186768,"['for', '390', 'building', 'across', 'the', 'hide', 'in', 'marking', 'the', 'language']"
4,negative about we split up Partners it's my music Concourse I am at a company G work,0.8273631930351257,"['negative', 'about', 'we', 'split', 'up', 'partners', ""it's"", 'my', 'music', 'concourse', 'i', 'am', 'at', 'a', 'company', 'g', 'work']"
5,or were there any items taken so the RP is that why you pee action at this time they'll be connected to that and send me the book,0.6989880204200745,"['or', 'were', 'there', 'any', 'items', 'taken', 'so', 'the', 'rp', 'is', 'that', 'why', 'you', 'pee', 'action', 'at', 'this', 'time', ""they'll"", 'be', 'connected', 'to', 'that', 'and', 'send', 'me', 'the', 'book']"
6,last and can you put us with three 950 sleep has been to two eight five market research,0.6645174622535706,"['last', 'and', 'can', 'you', 'put', 'us', 'with', 'three', '950', 'sleep', 'has', 'been', 'to', 'two', 'eight', 'five', 'market', 'research']"
7,Eddy brother I know nice male 4 years old and bills of the Domino's Pizza t-shirt on the street,0.840958833694458,"['eddy', 'brother', 'i', 'know', 'nice', 'male', '4', 'years', 'old', 'and', 'bills', 'of', 'the', ""domino's"", 'pizza', 't-shirt', 'on', 'the', 'street']"
8,Miley is going to be boa will be in the area weather is hundred three three,0.7390036284923553,"['miley', 'is', 'going', 'to', 'be', 'boa', 'will', 'be', 'in', 'the', 'area', 'weather', 'is', 'hundred', 'three', 'three']"
9,I have 12 of them with a 585 at any in Leavenworth well the silver 12 out of the next person more than says welcome 13s Perkins over 30 never 12 over to 14 hours 70 for the night,0.7154345512390137,"['i', 'have', '12', 'of', 'them', 'with', 'a', '585', 'at', 'any', 'in', 'leavenworth', 'well', 'the', 'silver', '12', 'out', 'of', 'the', 'next', 'person', 'more', 'than', 'says', 'welcome', '13s', 'perkins', 'over', '30', 'never', '12', 'over', 'to', '14', 'hours', '70', 'for', 'the', 'night']"
10,800 601 he's yelling to be me study of the sleeping bags and it's are afraid to exit the building or a 94 the D800,0.8496489524841309,"['800', '601', ""he's"", 'yelling', 'to', 'be', 'me', 'study', 'of', 'the', 'sleeping', 'bags', 'and', ""it's"", 'are', 'afraid', 'to', 'exit', 'the', 'building', 'or', 'a', '94', 'the', 'd800']"
11,Henry Day 41 out,0.6310945153236389,"['henry', 'day', '41', 'out']"
12,Octavia an oak California Plate State atom Tom David 902 one aboard it's a white Honda Accord for door we're sufficient got on didn't like me Harvey 4419 hide,0.8844437003135681,"['octavia', 'an', 'oak', 'california', 'plate', 'state', 'atom', 'tom', 'david', '902', 'one', 'aboard', ""it's"", 'a', 'white', 'honda', 'accord', 'for', 'door', ""we're"", 'sufficient', 'got', 'on', ""didn't"", 'like', 'me', 'harvey', '4419', 'hide']"
